divyanshjain@Divyanshs-MacBook-Air Orbitronix % python3 bayesian_optimisation_2.py
|   iter    |  target   |  allowed  | arg_pe... | inclin... |   raan    | semi_m... |
| 148       | 1.024e+03 | False     | 76.93     | 10.69     | 111.1     | 6.964e+03 |
| 149       | 1.024e+03 | False     | 268.0     | -11.14    | 77.08     | 6.751e+03 |
| 150       | 1.024e+03 | False     | 51.31     | -4.917    | 9.586     | 6.715e+03 |
| 151       | 1.024e+03 | False     | 242.8     | 11.99     | 28.99     | 6.764e+03 |
| 152       | 1.024e+03 | False     | 74.75     | 16.69     | 256.1     | 6.893e+03 |
| 153       | 1.024e+03 | False     | 109.6     | 13.39     | 156.7     | 7.04e+03  |
| 154       | 1.024e+03 | False     | 254.2     | -0.8787   | 45.44     | 7.061e+03 |
| 155       | 1.024e+03 | False     | 57.54     | -11.9     | 155.2     | 6.833e+03 |
| 156       | 1.024e+03 | False     | 52.83     | 9.173     | 67.95     | 6.929e+03 |
| 157       | 1.024e+03 | False     | 271.6     | -11.57    | 216.3     | 6.971e+03 |
| 158       | 1.024e+03 | False     | 229.8     | 3.885     | 106.4     | 6.964e+03 |
| 159       | 1.024e+03 | False     | 340.3     | -2.978    | 281.6     | 6.693e+03 |
| 160       | 1.024e+03 | True      | 300.7     | -12.31    | 142.2     | 6.791e+03 |
| 161       | 1.024e+03 | False     | 28.84     | 16.19     | 133.3     | 6.883e+03 |
| 162       | 1.024e+03 | False     | 177.9     | -14.71    | 74.32     | 6.701e+03 |
| 163       | 1.024e+03 | False     | 182.9     | -9.538    | 128.5     | 6.714e+03 |
| 164       | 1.024e+03 | False     | 283.5     | -15.74    | 354.9     | 6.742e+03 |
| 165       | 1.024e+03 | False     | 206.1     | -18.21    | 283.4     | 6.747e+03 |
| 166       | 1.024e+03 | False     | 190.0     | 9.603     | 53.98     | 6.891e+03 |
| 167       | 1.024e+03 | False     | 77.98     | 10.37     | 260.2     | 6.742e+03 |
| 168       | 1.024e+03 | False     | 310.3     | -19.21    | 309.7     | 6.895e+03 |
| 169       | 1.024e+03 | False     | 145.2     | 10.35     | 258.1     | 7.066e+03 |
| 170       | 1.024e+03 | False     | 100.1     | -19.85    | 336.2     | 7.014e+03 |
| 171       | 1.024e+03 | False     | 262.4     | 0.6676    | 254.5     | 6.983e+03 |
| 172       | 1.024e+03 | False     | 135.0     | 10.81     | 270.2     | 6.916e+03 |
| 173       | 1.024e+03 | False     | 144.7     | 7.892     | 1.121     | 6.981e+03 |
| 174       | 1.024e+03 | False     | 322.7     | -10.43    | 43.48     | 6.759e+03 |
| 175       | 1.024e+03 | False     | 108.8     | 15.32     | 195.5     | 6.786e+03 |
| 176       | 1.024e+03 | True      | 49.81     | -8.394    | 221.0     | 6.801e+03 |
| 177       | 1.024e+03 | False     | 164.6     | -2.235    | 298.1     | 6.842e+03 |
| 178       | 1.024e+03 | False     | 124.5     | 6.999     | 79.73     | 6.858e+03 |
| 179       | 1.024e+03 | False     | 113.3     | 5.074     | 315.8     | 6.85e+03  |
| 180       | 1.024e+03 | False     | 282.4     | -1.721    | 236.2     | 6.724e+03 |
| 181       | 1.024e+03 | False     | 155.9     | 16.37     | 218.0     | 6.978e+03 |
| 182       | 1.024e+03 | False     | 181.7     | -0.07778  | 303.4     | 6.698e+03 |
| 183       | 1.024e+03 | False     | 206.4     | 17.71     | 186.4     | 6.749e+03 |
| 184       | 1.024e+03 | False     | 305.3     | -9.934    | 252.3     | 6.887e+03 |
| 185       | 1.024e+03 | True      | 341.6     | 4.973     | 301.7     | 6.674e+03 |
| 186       | 1.024e+03 | False     | 356.2     | -16.89    | 116.0     | 7.049e+03 |
| 187       | 1.024e+03 | False     | 3.218     | 12.91     | 310.0     | 6.847e+03 |
| 188       | 1.024e+03 | False     | 92.07     | 12.11     | 172.0     | 6.725e+03 |
| 189       | 1.024e+03 | False     | 334.0     | 15.84     | 177.0     | 7.014e+03 |
| 190       | 1.024e+03 | False     | 150.7     | 7.339     | 143.3     | 6.873e+03 |
| 191       | 1.024e+03 | True      | 68.24     | 18.6      | 105.9     | 6.712e+03 |
| 192       | 1.024e+03 | True      | 51.95     | -19.44    | 257.7     | 6.897e+03 |
| 193       | 1.024e+03 | False     | 286.0     | 0.2832    | 285.1     | 6.949e+03 |
| 194       | 1.024e+03 | False     | 280.0     | -3.741    | 233.2     | 6.743e+03 |
| 195       | 1.024e+03 | False     | 115.9     | -13.1     | 147.1     | 6.768e+03 |
| 196       | 1.024e+03 | False     | 146.5     | 19.01     | 115.3     | 7.064e+03 |
| 197       | 1.024e+03 | False     | 229.1     | -4.996    | 308.7     | 6.919e+03 |
| 198       | 1.024e+03 | False     | 90.73     | 11.71     | 155.9     | 6.814e+03 |
| 199       | 1.024e+03 | False     | 118.9     | 7.895     | 96.71     | 6.994e+03 |
| 200       | 1.024e+03 | False     | 106.3     | 1.765     | 175.7     | 7.013e+03 |
| 201       | 1.024e+03 | False     | 2.779     | -13.53    | 255.4     | 6.977e+03 |
| 202       | 1.024e+03 | False     | 159.3     | -3.461    | 197.2     | 6.969e+03 |
| 203       | 1.024e+03 | False     | 224.4     | -11.07    | 345.3     | 6.993e+03 |
| 204       | 1.024e+03 | False     | 7.634     | 12.32     | 347.3     | 6.952e+03 |
| 205       | 1.024e+03 | True      | 131.2     | -19.1     | 54.87     | 7.06e+03  |
| 206       | 1.024e+03 | False     | 358.3     | -6.993    | 294.1     | 6.689e+03 |
| 207       | 1.024e+03 | False     | 353.2     | -9.183    | 291.2     | 6.85e+03  |
| 208       | 1.024e+03 | False     | 117.0     | 5.431     | 144.2     | 6.972e+03 |
| 209       | 1.024e+03 | False     | 110.1     | 7.066     | 198.5     | 6.797e+03 |
| 210       | 1.024e+03 | False     | 143.0     | -12.23    | 19.03     | 6.809e+03 |
| 211       | 1.024e+03 | False     | 3.407     | 2.008     | 58.32     | 6.862e+03 |
| 212       | 1.024e+03 | False     | 119.6     | -0.6083   | 150.1     | 6.999e+03 |
| 213       | 1.024e+03 | False     | 84.26     | -2.12     | 198.0     | 7.051e+03 |
| 214       | 1.024e+03 | False     | 42.43     | 2.021     | 176.9     | 6.729e+03 |
| 215       | 1.024e+03 | False     | 94.58     | -19.13    | 60.29     | 6.928e+03 |
| 216       | 1.024e+03 | False     | 70.59     | -3.985    | 185.5     | 6.699e+03 |
| 217       | 1.024e+03 | False     | 65.08     | -9.129    | 289.3     | 6.93e+03  |
| 218       | 1.024e+03 | True      | 48.14     | 0.3139    | 320.1     | 6.898e+03 |
| 219       | 1.024e+03 | False     | 54.59     | -11.83    | 242.1     | 7.021e+03 |
| 220       | 1.024e+03 | False     | 294.5     | -13.46    | 5.412     | 6.735e+03 |
=====================================================================================
Best Parameters Found: {'target': 1024.0, 'params': {'arg_perigree': 201.49811353949127, 'inclination': -19.497760793635365, 'raan': 25.91074068821524, 'semi_major_axis': 7057.910532000109}, 'constraint': 1.4375796061219452}
divyanshjain@Divyanshs-MacBook-Air Orbitronix % python3 bayesian_optimisation_2.py
|   iter    |  target   |  allowed  | arg_pe... | inclin... |   raan    | semi_m... |
-------------------------------------------------------------------------------------
| 1         | 1.024e+03 | False     | 150.1     | 8.813     | 0.04117   | 6.792e+03 |
| 2         | 1.024e+03 | False     | 52.83     | -16.31    | 67.05     | 6.809e+03 |
| 3         | 1.024e+03 | False     | 142.8     | 1.553     | 150.9     | 6.945e+03 |
| 4         | 1.024e+03 | False     | 73.6      | 15.12     | 9.86      | 6.939e+03 |
| 5         | 1.024e+03 | False     | 150.2     | 2.348     | 50.54     | 6.75e+03  |
| 6         | 1.024e+03 | False     | 288.3     | 18.73     | 112.8     | 6.948e+03 |
| 7         | 1.024e+03 | False     | 315.5     | 15.78     | 30.62     | 6.687e+03 |
| 8         | 1.024e+03 | False     | 61.14     | 15.13     | 35.4      | 6.839e+03 |
| 9         | 1.024e+03 | False     | 344.8     | 1.327     | 249.1     | 6.797e+03 |
| 10        | 1.024e+03 | False     | 247.1     | 13.39     | 6.584     | 6.971e+03 |
| 11        | 1.024e+03 | False     | 356.0     | 9.927     | 101.0     | 6.987e+03 |
| 12        | 1.024e+03 | False     | 37.16     | -2.084    | 327.1     | 6.788e+03 |
| 13        | 1.024e+03 | False     | 103.6     | -14.8     | 6.972     | 6.943e+03 |
| 14        | 1.024e+03 | False     | 76.19     | -9.378    | 177.0     | 6.692e+03 |
| 15        | 1.024e+03 | False     | 206.7     | -14.13    | 212.1     | 6.951e+03 |
| 16        | 1.024e+03 | False     | 36.84     | -3.438    | 250.0     | 6.837e+03 |
| 17        | 1.024e+03 | False     | 17.98     | 1.436     | 239.0     | 6.877e+03 |
| 18        | 1.024e+03 | False     | 340.1     | 3.462     | 325.2     | 6.726e+03 |
| 19        | 1.024e+03 | False     | 50.14     | 12.3      | 143.2     | 6.737e+03 |
| 20        | 1.024e+03 | False     | 333.9     | -6.089    | 270.3     | 6.961e+03 |
| 21        | 1.024e+03 | False     | 318.0     | 4.947     | 270.3     | 6.811e+03 |
| 22        | 1.024e+03 | False     | 97.17     | 15.84     | 154.1     | 7.057e+03 |
| 23        | 1.024e+03 | False     | 238.8     | 4.868     | 41.31     | 7.051e+03 |
| 24        | 1.024e+03 | False     | 162.0     | 3.136     | 146.9     | 6.766e+03 |
| 25        | 1.024e+03 | False     | 325.2     | 2.947     | 1.033     | 6.918e+03 |
| 26        | 1.024e+03 | False     | 117.6     | 1.082     | 318.9     | 6.814e+03 |
| 27        | 1.024e+03 | False     | 327.1     | 4.934     | 5.696     | 7.043e+03 |
| 28        | 1.024e+03 | False     | 248.7     | 19.89     | 62.04     | 6.726e+03 |
| 29        | 1.024e+03 | False     | 335.7     | 7.873     | 23.76     | 6.973e+03 |
| 30        | 1.024e+03 | False     | 271.4     | 16.92     | 256.1     | 6.721e+03 |
| 31        | 1.024e+03 | False     | 7.157     | -18.95    | 10.19     | 6.769e+03 |
| 32        | 1.024e+03 | False     | 309.6     | 1.553     | 199.0     | 7.008e+03 |
| 33        | 1.024e+03 | False     | 44.7      | -8.833    | 210.9     | 7.059e+03 |
| 34        | 1.024e+03 | False     | 202.0     | -19.25    | 288.2     | 6.764e+03 |
| 35        | 1.024e+03 | False     | 290.6     | -4.486    | 310.9     | 6.97e+03  |
| 36        | 1.024e+03 | False     | 200.2     | -14.54    | 21.57     | 6.72e+03  |
| 37        | 1.024e+03 | False     | 16.04     | -15.7     | 81.26     | 6.956e+03 |
| 38        | 1.024e+03 | False     | 201.5     | -19.5     | 25.91     | 7.058e+03 |
| 39        | 1.024e+03 | False     | 204.5     | -11.87    | 90.84     | 6.969e+03 |
| 40        | 1.024e+03 | False     | 70.35     | 3.254     | 349.2     | 7.01e+03  |
| 41        | 1.024e+03 | False     | 86.35     | -0.2492   | 223.2     | 7.003e+03 |
